"PLOCode","PLOName","PLODescription","ProgramCode","AcademicProgram","CollegeCode","DepartmentCode"
"3070.4226.5","3070 - Management (AAS)-4226.5","Analyze legal, ethical and social implications of business decisions and their impact on various individuals, groups and societies. (GBS205, SBU200)","3070AAS","3070 - Management (AAS)","08BUSCIS","BUSCIS.BUS"
"3070.4226.6","3070 - Management (AAS)-4226.6","Create and use effective oral, written, and visual business communication skills. (GBS120, MGT229, CRE101, (COM), [FYC], [HU])","3070AAS","3070 - Management (AAS)","08BUSCIS","BUSCIS.BUS"
"3070.4226.7","3070 - Management (AAS)-4226.7","Evaluate organizational structures and the functions of planning, organizing, leading, and controlling in a business setting. (GBS151, MGT229, MGT+++, TQM230, TQM240)","3070AAS","3070 - Management (AAS)","08BUSCIS","BUSCIS.BUS"
"3070.4226.8","3070 - Management (AAS)-4226.8","Apply basic principles and techniques of management to recruit, select, hire, train, supervise, and evaluate employees. (GBS151, MGT251)","3070AAS","3070 - Management (AAS)","08BUSCIS","BUSCIS.BUS"
"3070.4226.9","3070 - Management (AAS)-4226.9","Critically evaluate the alternatives faced in business decision making to select the most effective and efficient solution. (GBS151, MGT229, MGT251, MGT+++, TQM230, TQM240, CRE101, [MA], [SG], [SQ])","3070AAS","3070 - Management (AAS)","08BUSCIS","BUSCIS.BUS"
"3070.4226.10","3070 - Management (AAS)-4226.10","Apply relevant knowledge, skills, and habits of mind to seek career opportunities in the field. (FYE101, FYE103)","3070AAS","3070 - Management (AAS)","08BUSCIS","BUSCIS.BUS"
"3148.4226.1","3148 - General Business (AAS)-4226.1","Apply effective oral, written, and visual business communication skills. (GBS120, GBS233, (COM), [FYC])","3148AAS","3148 - General Business (AAS)","08BUSCIS","BUSCIS.BUS"
"3148.4226.2","3148 - General Business (AAS)-4226.2","Demonstrate critical thinking through written and oral formats. (GBS120, GBS151, GBS205, GBS233, EPS++, GBS++, SBU200, (COM), [FYC], [HU], [SG], [SQ])","3148AAS","3148 - General Business (AAS)","08BUSCIS","BUSCIS.BUS"
"3148.4226.3","3148 - General Business (AAS)-4226.3","Use basic mathematics and accounting principles to manage the financial health of an organization. (ACC111, ACC++, [MA])","3148AAS","3148 - General Business (AAS)","08BUSCIS","BUSCIS.BUS"
"3148.4226.4","3148 - General Business (AAS)-4226.4","Apply current technology to specific business tasks. (CIS105, CIS114DE, CIS117DM, CIS133DA)","3148AAS","3148 - General Business (AAS)","08BUSCIS","BUSCIS.BUS"
"3148.4226.5","3148 - General Business (AAS)-4226.5","Apply functions of modern business, including business principles, marketing, labor relations, and risk analysis to business situations. (GBS151, GBS++, IBS++, MGT175, MGT251, MGT++, SBS++)","3148AAS","3148 - General Business (AAS)","08BUSCIS","BUSCIS.BUS"
"3148.4226.6","3148 - General Business (AAS)-4226.6","Analyze legal, ethical and social implications of business decisions and their impact on various individuals, groups and societies. (ACC111, ECN211, ECN212, GBS151, GBS205, MGT175, MGT251, MKT271, SBU200, [HU])","3148AAS","3148 - General Business (AAS)","08BUSCIS","BUSCIS.BUS"
"3148.4226.7","3148 - General Business (AAS)-4226.7","Apply basic principles and techniques of management to recruit, select, hire, train, supervise, and evaluate employees. (GBS151, MGT175, MGT251)","3148AAS","3148 - General Business (AAS)","08BUSCIS","BUSCIS.BUS"
"3148.4226.8","3148 - General Business (AAS)-4226.8","Evaluate organizational structures and the functions of planning, organizing, leading, and controlling in a business setting (GBS151, MGT175, MGT251, MGT++)","3148AAS","3148 - General Business (AAS)","08BUSCIS","BUSCIS.BUS"
"3148.4226.9","3148 - General Business (AAS)-4226.9","Apply functions of modern business, including business principles, marketing, labor relations, and risk to business situations. (GBS151, GBS205, MGT175, MGT251, MKT271, MKT++, REA++)","3148AAS","3148 - General Business (AAS)","08BUSCIS","BUSCIS.BUS"
"3148.4226.10","3148 - General Business (AAS)-4226.10","Analyze marketing research to create marketing plans and forecasts. (GBS151, MGT175, MGT251, MKT271, MKT++)","3148AAS","3148 - General Business (AAS)","08BUSCIS","BUSCIS.BUS"
"3148.4226.11","3148 - General Business (AAS)-4226.11","Apply relevant knowledge, skills, and habits of mind to seek career opportunities in the field. (FYE101, FYE103)","3148AAS","3148 - General Business (AAS)","08BUSCIS","BUSCIS.BUS"
"3149.4226.1","3149 - Accounting (AAS)-4226.1","Apply effective oral, written, and visual business communication skills. (GBS120, GBS233, [FYC], (COM))","3149AAS","3149 - Accounting (AAS)","08BUSCIS","BUSCIS.BUS"
"3149.4226.2","3149 - Accounting (AAS)-4226.2","Use basic mathematics and accounting principles to report the financial position of an organization. (ACC105, ACC111, ACC112, ACC115, ACC121, ACC211, ACC212, ACC219, ACC221, ACC222, ACC230, ACC240, ACC+++++, GBS131, GBS220, GBS221, GBS261, [MA])","3149AAS","3149 - Accounting (AAS)","08BUSCIS","BUSCIS.BUS"
"3149.4226.3","3149 - Accounting (AAS)-4226.3","Apply current technology to specific business tasks. (ACC115, CIS105, CIS114DE)","3149AAS","3149 - Accounting (AAS)","08BUSCIS","BUSCIS.BUS"
"3149.4226.4","3149 - Accounting (AAS)-4226.4","Evaluate the legal, ethical and social implications of business decisions and their impact on various individuals, groups and societies. (ACC111, ACC121, ACC221, ECN211, ECN212, GBS151, GBS205, MGT101, MGT175, MGT229, SBU200, [HU])","3149AAS","3149 - Accounting (AAS)","08BUSCIS","BUSCIS.BUS"
"3149.4226.5","3149 - Accounting (AAS)-4226.5","Demonstrate critical thinking through written and oral formats. (ACC+++++, GBS120, GBS151, GBS205, GBS220, GBS233, SBU200, [FYC], [HU], [SG/SQ], (COM),(CRE))","3149AAS","3149 - Accounting (AAS)","08BUSCIS","BUSCIS.BUS"
"3149.4226.6","3149 - Accounting (AAS)-4226.6","Apply functions of modern business, including business principles, marketing, labor relations, and risk to business situations. (GBS151, GBS205, MGT101, MGT175, MGT229)","3149AAS","3149 - Accounting (AAS)","08BUSCIS","BUSCIS.BUS"
"3149.4226.7","3149 - Accounting (AAS)-4226.7","Apply principles and practices of accounting to analyze and interpret general purpose financial statements. (ACC105, ACC111, ACC112, ACC115, ACC121, ACC211, ACC212, ACC219, ACC221, ACC222, ACC230, ACC240, ACC+++++)","3149AAS","3149 - Accounting (AAS)","08BUSCIS","BUSCIS.BUS"
"3149.4226.8","3149 - Accounting (AAS)-4226.8","Apply basic rules of financial accounting to business transactions. (ACC105, ACC111, ACC112, ACC115, ACC121, ACC211, ACC212, ACC219, ACC221, ACC222, ACC230, ACC240, ACC+++++)","3149AAS","3149 - Accounting (AAS)","08BUSCIS","BUSCIS.BUS"
"3149.4226.9","3149 - Accounting (AAS)-4226.9","Apply basic rules of managerial accounting to business decision making. (ACC212, ACC240)","3149AAS","3149 - Accounting (AAS)","08BUSCIS","BUSCIS.BUS"
"3149.4226.10","3149 - Accounting (AAS)-4226.10","Apply appropriate procedures to prepare individual, partnership, and corporate taxes, including tax reporting for income, payroll, sales, and personal property. (ACC105, ACC121, ACC221, ACC222)","3149AAS","3149 - Accounting (AAS)","08BUSCIS","BUSCIS.BUS"
"3149.4226.11","3149 - Accounting (AAS)-4226.11","Demonstrate an understanding of compliance in accounting, reporting and tax. (ACC105, ACC121, ACC221, ACC222, GBS205)","3149AAS","3149 - Accounting (AAS)","08BUSCIS","BUSCIS.BUS"
"3149.4226.12","3149 - Accounting (AAS)-4226.12","Apply relevant knowledge, skills, and habits of mind to seek career opportunities in the field. (FYE101, FYE103)","3149AAS","3149 - Accounting (AAS)","08BUSCIS","BUSCIS.BUS"
"3181.4226.1","3181 - Administration of Justice Studies (AAS)-4226.1","Synthesize multiple sources of information to make timely assessments. (AJS101, AJS113, AJS123, AJS162, AJS200, AJS201, AJS205, AJS210, AJS230, AJS240, AJS255, AJS/EMT/FSC/SWU258, AJS270, AJS275, AJS290BN, BPC110, CIS105, CIS114DE, PSY101, REC120, SOC101, SWU171, (COM), (CRE), [FYC], [MA], [SG], [SQ])","3181AAS","3181 - Administration of Justice Studies (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3181.4226.2","3181 - Administration of Justice Studies (AAS)-4226.2","Solve problems through logical and sound reasoning. (AJS101, AJS109, AJS113, AJS123, AJS162, AJS201, AJS205, AJS210, AJS212, AJS225, AJS230, AJS240, AJS255, AJS/EMT/FSC/SWU258, AJS260, AJS270, AJS275, AJS290BN, BPC110, CIS105, CIS114DE, PSY101, REC120, SOC101, SWU171, (COM), (CRE), [FYC], [MA], [SG], [SQ])","3181AAS","3181 - Administration of Justice Studies (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3181.4226.3","3181 - Administration of Justice Studies (AAS)-4226.3","Communicate orally, visually and in writing precisely, appropriately, and effectively to varied audiences. (AJS101, AJS113, AJS162, AJS201, AJS205, AJS210, AJS212, AJS230, AJS240, AJS255, AJS/EMT/FSC/SWU258, AJS270, AJS275, AJS290BN, BPC110, CIS105, CIS114DE, PSY101, REC120, SOC101, SWU171, (COM), (CRE), [FYC], [MA], [SG], [SQ])","3181AAS","3181 - Administration of Justice Studies (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3181.4226.4","3181 - Administration of Justice Studies (AAS)-4226.4","Communicate in the language common to the criminal justice system. (AJS101, AJS109, AJS113, AJS162, AJS201, AJS205, AJS210, AJS212, AJS225, AJS230, AJS240, AJS255, AJS/EMT/FSC/SWU258, AJS270, AJS275, AJS290BN, (COM), (CRE), [FYC])","3181AAS","3181 - Administration of Justice Studies (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3181.4226.5","3181 - Administration of Justice Studies (AAS)-4226.5","Collaborate with diverse agencies, community representatives and individuals to achieve common goals. (AJS101, AJS113, AJS123, AJS162, AJS200, AJS201, AJS210, AJS212, AJS230, AJS240, AJS255, AJS/EMT/FSC/SWU258, AJS290BN, PSY101, REC120, SOC101, SWU171, (COM), (CRE), [FYC])","3181AAS","3181 - Administration of Justice Studies (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3181.4226.6","3181 - Administration of Justice Studies (AAS)-4226.6","Apply the principles and processes of criminal and constitutional law, criminology theory, knowledge of the functions and components of the criminal justice system, and current issues to criminal justice operations. (AJS101, AJS109, AJS113, AJS123, AJS162, AJS200, AJS201, AJS210, AJS212, AJS225, AJS230, AJS240, AJS255, AJS/EMT/FSC/SWU258, AJS260, AJS290BN, (CRE), [FYC], [MA])","3181AAS","3181 - Administration of Justice Studies (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3181.4226.7","3181 - Administration of Justice Studies (AAS)-4226.7","Utilize technology to collect, analyze and communicate data. (AJS101, AJS113, AJS162, AJS200, AJS201, AJS210, AJS230, AJS240, AJS255, AJS/EMT/FSC/SWU258, AJS270, AJS275, AJS290BN, BPC110, CIS105, CIS114DE, PSY101, SOC101, (COM), (CRE), [FYC], [MA], [SG], [SQ])","3181AAS","3181 - Administration of Justice Studies (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3181.4226.8","3181 - Administration of Justice Studies (AAS)-4226.8","Practice professional standards appropriate to the field of criminal justice. (AJS101, AJS109, AJS113, AJS119, AJS123, AJS162, AJS201, AJS210, AJS230, AJS240, AJS255, AJS/EMT/FSC/SWU258, AJS260, AJS270, AJS275, AJS290BN, PSY101, REC120, SOC101, SWU171, (COM), (CRE), [FYC], [SG], [SQ])","3181AAS","3181 - Administration of Justice Studies (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3181.4226.9","3181 - Administration of Justice Studies (AAS)-4226.9","Subscribe to and practice ethical behavior appropriate to the field of criminal justice. (AJS101, AJS109, AJS113, AJS119, AJS123, AJS162, AJS201, AJS210, AJS230, AJS240, AJS255, AJS/EMT/FSC/SWU258, AJS260, AJS270, AJS275, AJS290BN, PSY101, REC120, SOC101, SWU171, (CRE), [FYC], [SG], [SQ])","3181AAS","3181 - Administration of Justice Studies (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3181.4226.10","3181 - Administration of Justice Studies (AAS)-4226.10","Apply relevant knowledge, skills, and habits of mind to seek career opportunities in the field. (FYE101, FYE103)","3181AAS","3181 - Administration of Justice Studies (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3183.4226.1","3183 - Forensic Science (AAS)-4226.1","Synthesize multiple sources of information to make timely assessments. (AJS101, AJS123, AJS210, AJS213, AJS214, AJS215, AJS216, AJS219, AJS260, ASM/FOR275, AJS290BN, BPC110, [FYC], [MA], [SQ])","3183AAS","3183 - Forensic Science (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3183.4226.2","3183 - Forensic Science (AAS)-4226.2","Solve problems through logical and sound reasoning. (AJS101, AJS109, AJS123, AJS210, AJS213, AJS214, AJS215, AJS216, AJS219, AJS260, ASM/FOR275, AJS290BN, BPC110, CIS105, [COM], [FYC], [MA], [SQ])","3183AAS","3183 - Forensic Science (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3183.4226.3","3183 - Forensic Science (AAS)-4226.3","Communicate orally, visually and in writing precisely, appropriately, and effectively to varied audiences. (AJS101, AJS210, AJS213, AJS214, AJS215, AJS216, AJS219, AJS260, ASM/FOR275, AJS290BN, BPC110, CIS105, [COM], [FYC], [MA], [SQ])","3183AAS","3183 - Forensic Science (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3183.4226.4","3183 - Forensic Science (AAS)-4226.4","Communicate in the language common to the criminal justice system. (AJS101, AJS109, AJS210, AJS215, AJS219, AJS213, AJS214, AJS216, AJS260, ASM/FOR275, AJS290BN, [COM], [FYC], [MA], [SQ])","3183AAS","3183 - Forensic Science (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3183.4226.5","3183 - Forensic Science (AAS)-4226.5","Collaborate with diverse agencies, community representatives and individuals to achieve common goals. (AJS101, AJS123, AJS210, AJS213, AJS214, AJS215, AJS216, AJS219, AJS260, ASM/FOR275, AJS290BN, [COM], [FYC], [SQ])","3183AAS","3183 - Forensic Science (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3183.4226.6","3183 - Forensic Science (AAS)-4226.6","Apply the principles and processes of criminal and constitutional law, criminology theory, knowledge of the functions and components of the criminal justice system, and current issues to criminal justice operations. (AJS101, AJS109, AJS123, AJS210, AJS213, AJS214, AJS215, AJS216, AJS219, AJS260, ASM/FOR275, AJS290BN, [FYC], [MA], [SQ])","3183AAS","3183 - Forensic Science (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3183.4226.7","3183 - Forensic Science (AAS)-4226.7","Utilize technology to collect, analyze and communicate data. (AJS101, AJS210, AJS213, AJS214, AJS215, AJS216, AJS219, AJS260, ASM/FOR275, AJS290BN, BPC110, CIS105, [COM], [FYC], [MA], [SQ])","3183AAS","3183 - Forensic Science (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3183.4226.8","3183 - Forensic Science (AAS)-4226.8","Practice professional standards appropriate to the field of criminal justice. (AJS101, AJS109, AJS123, AJS210, AJS213, AJS214, AJS215, AJS216, AJS219, AJS260, ASM/FOR275, AJS290BN, [COM], [FYC], [SQ])","3183AAS","3183 - Forensic Science (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3183.4226.9","3183 - Forensic Science (AAS)-4226.9","Subscribe to and practice ethical behavior appropriate to the field of criminal justice. (AJS101, AJS109, AJS210, AJS213, AJS214, AJS215, AJS216, AJS219, AJS260, ASM/FOR275, AJS290BN, [FYC], [MA], [SQ])","3183AAS","3183 - Forensic Science (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3183.4226.10","3183 - Forensic Science (AAS)-4226.10","Collect, identify, classify, and analyze physical evidence related to criminal investigations. (AJS101, AJS213, AJS214, AJS215, AJS216, AJS219, ASM/FOR275, AJS290BN, [FYC], [MA], [SQ])","3183AAS","3183 - Forensic Science (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3183.4226.11","3183 - Forensic Science (AAS)-4226.11","Apply relevant knowledge, skills, and habits of mind to seek career opportunities in the field. (FYE101, FYE103)","3183AAS","3183 - Forensic Science (AAS)","08HLTSCPUB","HLTSCPUB.AJS"
"3184.4226.1","3184 - Unmanned Aircraft Systems (AAS)-4226.1","Operate small unmanned aircraft systems (sUAS) proficiently according to Federal Aviation (FAA) Rules and Regulations. (AET208, UAS100, UAS101, UAS107, UAS207, UAS208, UAS211, UAS215)","3184AAS","3184 - Unmanned Aircraft Systems (AAS)","08AVATION","AVATION.APLDTECH"
"3184.4226.2","3184 - Unmanned Aircraft Systems (AAS)-4226.2","Demonstrate an understanding of the aviation and emerging sUAS environment. (AET208, UAS101, UAS107, UAS207, UAS208, UAS211, UAS215)","3184AAS","3184 - Unmanned Aircraft Systems (AAS)","08AVATION","AVATION.APLDTECH"
"3184.4226.3","3184 - Unmanned Aircraft Systems (AAS)-4226.3","Employ safety, legal, ethical, and moral standards related to sUAS operations. (AET208, [HU], [SB], [SG], [SQ], UAS101, UAS107, UAS205, UAS206, UAS207, UAS211, UAS212, UAS215)","3184AAS","3184 - Unmanned Aircraft Systems (AAS)","08AVATION","AVATION.APLDTECH"
"3184.4226.4","3184 - Unmanned Aircraft Systems (AAS)-4226.4","Demonstrate basic radio skills and procedures to communicate with air traffic control (ATC), airport operators, and others as legally required. (AET208, [COM], [CRE], [FYC], UAS100, UAS107, UAS207, UAS211, UAS215)","3184AAS","3184 - Unmanned Aircraft Systems (AAS)","08AVATION","AVATION.APLDTECH"
"3184.4226.5","3184 - Unmanned Aircraft Systems (AAS)-4226.5","Design flight and mission plans using computer applications and processes associated with sUAS operations. (AET208, [CRE], [MA], PHY111, [SG], [SQ], UAS100, UAS107, UAS205, UAS206, UAS207, UAS208, UAS211, UAS215)","3184AAS","3184 - Unmanned Aircraft Systems (AAS)","08AVATION","AVATION.APLDTECH"
"3184.4226.6","3184 - Unmanned Aircraft Systems (AAS)-4226.6","Conduct basic maintenance and repair of sUAS. (AET208, UAS100, UAS107, UAS207, UAS211, UAS212, UAS215)","3184AAS","3184 - Unmanned Aircraft Systems (AAS)","08AVATION","AVATION.APLDTECH"
"3184.4226.7","3184 - Unmanned Aircraft Systems (AAS)-4226.7","Utilize problem solving skills in a dynamic environment for data analysis, evaluation, and reporting. (AET208, [CRE], [MA], PHY111, [SG], [SQ], UAS100, UAS101, UAS107, UAS205, UAS206, UAS207, UAS208, UAS211, UAS212, UAS215)","3184AAS","3184 - Unmanned Aircraft Systems (AAS)","08AVATION","AVATION.APLDTECH"
"3184.4226.8","3184 - Unmanned Aircraft Systems (AAS)-4226.8","Mitigate human factors risks in sUAS operations. (AET205, AET208, [SB], [SG], [SQ], UAS100, UAS101, UAS107, UAS205, UAS206, UAS207, UAS208, UAS211, UAS212, UAS215)","3184AAS","3184 - Unmanned Aircraft Systems (AAS)","08AVATION","AVATION.APLDTECH"
"3184.4226.9","3184 - Unmanned Aircraft Systems (AAS)-4226.9","Prepare for FAA Part 107 Certification. (AET208, [MA], UAS107, UAS207, UAS215)","3184AAS","3184 - Unmanned Aircraft Systems (AAS)","08AVATION","AVATION.APLDTECH"
"3184.4226.10","3184 - Unmanned Aircraft Systems (AAS)-4226.10","Apply relevant knowledge, skills, and habits of mind to seek career opportunities in the field. (FYE101, FYE103)","3184AAS","3184 - Unmanned Aircraft Systems (AAS)","08AVATION","AVATION.APLDTECH"
"3185.4226.1","3185 - Web Design/Development (AAS)-4226.1","Design websites using knowledge of computer information systems, including security, computer concepts, web delivery system architecture, and file management. (ART100, ART112, CIS105, CIS119DO, CIS126DL, CIS126RH, CIS133DA, CIS136, CIS138DA, CIS150AB, CIS156, CIS159, CIS162++, CIS163AA, CIS165++, CIS166AA, CIS166AE, CIS220DF, CIS233DA, CIS235, CIS256, CIS262AD, CIS263AA, CIS265++, CIS276++, [MA])","3185AAS","3185 - Web Design/Development (AAS)","08BUSCIS","BUSCIS.CIS"
"3185.4226.2","3185 - Web Design/Development (AAS)-4226.2","Research, plan, design, develop, test, publish, and maintain websites. (ART100, ART112, CIS105, CIS119DO, CIS120DA, CIS120DB, CIS120DF, CIS120DK, CIS126DL, CIS126RH, CIS133DA, CIS136, CIS138DA, CIS150AB, CIS156, CIS159, CIS162++, CIS163AA, CIS165++, CIS166AA, CIS166AE, CIS233DA, CIS235, CIS256, CIS262AD, CIS263AA, CIS265++, CIS276++, (CRE), [FYC], [MA], [SG], [SQ])","3185AAS","3185 - Web Design/Development (AAS)","08BUSCIS","BUSCIS.CIS"
"3185.4226.3","3185 - Web Design/Development (AAS)-4226.3","Create complex websites using current standards in Hypertext Markup Language (HTML), Cascading Style Sheets (CSS), and Javascript. (ART100, ART112, CIS105, CIS119DO, CIS120DA, CIS120DB, CIS120DC, CIS120DK, CIS133DA, CIS138DA, CIS150AB, CIS163AA, CIS166AA, CIS166AE, CIS220DF, CIS233DA, CIS262AD, CIS263AA, CIS265++, CIS276++, [HU], [MA], [SB])","3185AAS","3185 - Web Design/Development (AAS)","08BUSCIS","BUSCIS.CIS"
"3185.4226.4","3185 - Web Design/Development (AAS)-4226.4","Research and utilize best practices in user interface, user experience, accessibility and search engine optimization to build complex websites. (ADA/ART183, ART100, ART112, ART181, CIS119DO, CIS120DA, CIS120DB, CIS120DC, CIS120DF, CIS120DK, CIS120DA, CIS120DK, CIS133DA, CIS136, CIS138DA, CIS166AE, CIS220DF, CIS233DA, CIS276++, (COM), (CRE), [FYC], [MA])","3185AAS","3185 - Web Design/Development (AAS)","08BUSCIS","BUSCIS.CIS"
"3185.4226.5","3185 - Web Design/Development (AAS)-4226.5","Design and implement e-commerce solutions. (ADA/ART183, ART100, ART112, ART181, CIS105, CIS119DO, CIS120DA, CIS120DB, CIS120DC, CIS120DF, CIS120DK, CIS133DA, CIS136, CIS150AB, CIS166AA, CIS166AE, CIS220DF, CIS233DA, CIS235, CIS262AD, CIS276++, (CRE), [MA], [SG], [SQ])","3185AAS","3185 - Web Design/Development (AAS)","08BUSCIS","BUSCIS.CIS"
"3185.4226.6","3185 - Web Design/Development (AAS)-4226.6","Construct a website using a content management system. (ADA/ART183, ART100, ART112, ART181, CIS120DA, CIS120DB, CIS120DC, CIS120DF, CIS120DK, CIS133DA, CIS136, CIS166AA, CIS166AE, CIS220DF, CIS233DA, [MA], [SG], [SQ])","3185AAS","3185 - Web Design/Development (AAS)","08BUSCIS","BUSCIS.CIS"
